name,budget_label,assumption_status,raw_fov_m2,effective_fov_m2,accessible_area_m2,coverage_fraction,views,frames_per_view,capture_per_view_s,per_view_s,total_s,total_minutes,within_30_minutes,profile,target
optimistic:1m2,expected_valid_synthetic_mix,SIMULATED_FRAME_DISTRIBUTION_AND_UNVALIDATED_TIMING_INPUTS,0.2,0.17,0.95,0.95,6,22.9,0.38166666666666665,1.7816666666666667,100.69,1.6781666666666666,True,optimistic,1m2
optimistic:1m2,p95_valid_synthetic_mix,SIMULATED_FRAME_DISTRIBUTION_AND_UNVALIDATED_TIMING_INPUTS,0.2,0.17,0.95,0.95,6,60.0,1.0,2.4,104.4,1.74,True,optimistic,1m2
optimistic:1m2,worst_case_diagnostic,SIMULATED_FRAME_DISTRIBUTION_AND_UNVALIDATED_TIMING_INPUTS,0.2,0.17,0.95,0.95,6,60.0,1.0,2.4,104.4,1.74,True,optimistic,1m2
optimistic:1m2,clean_pass_certificate,SIMULATED_FRAME_DISTRIBUTION_AND_UNVALIDATED_TIMING_INPUTS,0.2,0.17,0.95,0.95,6,36.0,0.6,2.0,102.0,1.7,True,optimistic,1m2
optimistic:5m2,expected_valid_synthetic_mix,SIMULATED_FRAME_DISTRIBUTION_AND_UNVALIDATED_TIMING_INPUTS,0.2,0.17,4.0,0.8,24,22.9,0.38166666666666665,1.7816666666666667,132.76,2.2126666666666663,True,optimistic,5m2
optimistic:5m2,p95_valid_synthetic_mix,SIMULATED_FRAME_DISTRIBUTION_AND_UNVALIDATED_TIMING_INPUTS,0.2,0.17,4.0,0.8,24,60.0,1.0,2.4,147.6,2.46,True,optimistic,5m2
optimistic:5m2,worst_case_diagnostic,SIMULATED_FRAME_DISTRIBUTION_AND_UNVALIDATED_TIMING_INPUTS,0.2,0.17,4.0,0.8,24,60.0,1.0,2.4,147.6,2.46,True,optimistic,5m2
optimistic:5m2,clean_pass_certificate,SIMULATED_FRAME_DISTRIBUTION_AND_UNVALIDATED_TIMING_INPUTS,0.2,0.17,4.0,0.8,24,36.0,0.6,2.0,138.0,2.3,True,optimistic,5m2
optimistic:12m2,expected_valid_synthetic_mix,SIMULATED_FRAME_DISTRIBUTION_AND_UNVALIDATED_TIMING_INPUTS,0.2,0.17,9.0,0.75,53,22.9,0.38166666666666665,1.7816666666666667,184.42833333333334,3.073805555555556,True,optimistic,12m2
optimistic:12m2,p95_valid_synthetic_mix,SIMULATED_FRAME_DISTRIBUTION_AND_UNVALIDATED_TIMING_INPUTS,0.2,0.17,9.0,0.75,53,60.0,1.0,2.4,217.2,3.6199999999999997,True,optimistic,12m2
optimistic:12m2,worst_case_diagnostic,SIMULATED_FRAME_DISTRIBUTION_AND_UNVALIDATED_TIMING_INPUTS,0.2,0.17,9.0,0.75,53,60.0,1.0,2.4,217.2,3.6199999999999997,True,optimistic,12m2
optimistic:12m2,clean_pass_certificate,SIMULATED_FRAME_DISTRIBUTION_AND_UNVALIDATED_TIMING_INPUTS,0.2,0.17,9.0,0.75,53,36.0,0.6,2.0,196.0,3.2666666666666666,True,optimistic,12m2
optimistic:25m2,expected_valid_synthetic_mix,SIMULATED_FRAME_DISTRIBUTION_AND_UNVALIDATED_TIMING_INPUTS,0.2,0.17,16.25,0.65,96,22.9,0.38166666666666665,1.7816666666666667,261.04,4.350666666666667,True,optimistic,25m2
optimistic:25m2,p95_valid_synthetic_mix,SIMULATED_FRAME_DISTRIBUTION_AND_UNVALIDATED_TIMING_INPUTS,0.2,0.17,16.25,0.65,96,60.0,1.0,2.4,320.4,5.34,True,optimistic,25m2
optimistic:25m2,worst_case_diagnostic,SIMULATED_FRAME_DISTRIBUTION_AND_UNVALIDATED_TIMING_INPUTS,0.2,0.17,16.25,0.65,96,60.0,1.0,2.4,320.4,5.34,True,optimistic,25m2
optimistic:25m2,clean_pass_certificate,SIMULATED_FRAME_DISTRIBUTION_AND_UNVALIDATED_TIMING_INPUTS,0.2,0.17,16.25,0.65,96,36.0,0.6,2.0,282.0,4.7,True,optimistic,25m2
conservative:1m2,expected_valid_synthetic_mix,SIMULATED_FRAME_DISTRIBUTION_AND_UNVALIDATED_TIMING_INPUTS,0.075,0.056249999999999994,0.95,0.95,17,22.9,0.7633333333333333,4.763333333333334,200.9766666666667,3.3496111111111113,True,conservative,1m2
conservative:1m2,p95_valid_synthetic_mix,SIMULATED_FRAME_DISTRIBUTION_AND_UNVALIDATED_TIMING_INPUTS,0.075,0.056249999999999994,0.95,0.95,17,60.0,2.0,6.0,222.0,3.7,True,conservative,1m2
conservative:1m2,worst_case_diagnostic,SIMULATED_FRAME_DISTRIBUTION_AND_UNVALIDATED_TIMING_INPUTS,0.075,0.056249999999999994,0.95,0.95,17,60.0,2.0,6.0,222.0,3.7,True,conservative,1m2
conservative:1m2,clean_pass_certificate,SIMULATED_FRAME_DISTRIBUTION_AND_UNVALIDATED_TIMING_INPUTS,0.075,0.056249999999999994,0.95,0.95,17,36.0,1.2,5.2,208.4,3.4733333333333336,True,conservative,1m2
conservative:5m2,expected_valid_synthetic_mix,SIMULATED_FRAME_DISTRIBUTION_AND_UNVALIDATED_TIMING_INPUTS,0.075,0.056249999999999994,4.0,0.8,72,22.9,0.7633333333333333,4.763333333333334,462.96000000000004,7.716,True,conservative,5m2
conservative:5m2,p95_valid_synthetic_mix,SIMULATED_FRAME_DISTRIBUTION_AND_UNVALIDATED_TIMING_INPUTS,0.075,0.056249999999999994,4.0,0.8,72,60.0,2.0,6.0,552.0,9.2,True,conservative,5m2
conservative:5m2,worst_case_diagnostic,SIMULATED_FRAME_DISTRIBUTION_AND_UNVALIDATED_TIMING_INPUTS,0.075,0.056249999999999994,4.0,0.8,72,60.0,2.0,6.0,552.0,9.2,True,conservative,5m2
conservative:5m2,clean_pass_certificate,SIMULATED_FRAME_DISTRIBUTION_AND_UNVALIDATED_TIMING_INPUTS,0.075,0.056249999999999994,4.0,0.8,72,36.0,1.2,5.2,494.40000000000003,8.24,True,conservative,5m2
conservative:12m2,expected_valid_synthetic_mix,SIMULATED_FRAME_DISTRIBUTION_AND_UNVALIDATED_TIMING_INPUTS,0.075,0.056249999999999994,9.0,0.75,161,22.9,0.7633333333333333,4.763333333333334,886.8966666666668,14.781611111111113,True,conservative,12m2
conservative:12m2,p95_valid_synthetic_mix,SIMULATED_FRAME_DISTRIBUTION_AND_UNVALIDATED_TIMING_INPUTS,0.075,0.056249999999999994,9.0,0.75,161,60.0,2.0,6.0,1086.0,18.1,True,conservative,12m2
conservative:12m2,worst_case_diagnostic,SIMULATED_FRAME_DISTRIBUTION_AND_UNVALIDATED_TIMING_INPUTS,0.075,0.056249999999999994,9.0,0.75,161,60.0,2.0,6.0,1086.0,18.1,True,conservative,12m2
conservative:12m2,clean_pass_certificate,SIMULATED_FRAME_DISTRIBUTION_AND_UNVALIDATED_TIMING_INPUTS,0.075,0.056249999999999994,9.0,0.75,161,36.0,1.2,5.2,957.2,15.953333333333335,True,conservative,12m2
conservative:25m2,expected_valid_synthetic_mix,SIMULATED_FRAME_DISTRIBUTION_AND_UNVALIDATED_TIMING_INPUTS,0.075,0.056249999999999994,16.25,0.65,289,22.9,0.7633333333333333,4.763333333333334,1496.6033333333335,24.94338888888889,True,conservative,25m2
conservative:25m2,p95_valid_synthetic_mix,SIMULATED_FRAME_DISTRIBUTION_AND_UNVALIDATED_TIMING_INPUTS,0.075,0.056249999999999994,16.25,0.65,289,60.0,2.0,6.0,1854.0,30.9,False,conservative,25m2
conservative:25m2,worst_case_diagnostic,SIMULATED_FRAME_DISTRIBUTION_AND_UNVALIDATED_TIMING_INPUTS,0.075,0.056249999999999994,16.25,0.65,289,60.0,2.0,6.0,1854.0,30.9,False,conservative,25m2
conservative:25m2,clean_pass_certificate,SIMULATED_FRAME_DISTRIBUTION_AND_UNVALIDATED_TIMING_INPUTS,0.075,0.056249999999999994,16.25,0.65,289,36.0,1.2,5.2,1622.8,27.046666666666667,True,conservative,25m2
