name,assumption_status,raw_fov_m2,effective_fov_m2,accessible_area_m2,coverage_fraction,views,frames_per_view,capture_per_view_s,per_view_s,total_s,total_minutes,within_30_minutes,profile,target
optimistic:work_surface_1m2,UNVALIDATED_MODEL_INPUTS,0.2,0.17,0.95,0.95,6,96,1.6,3.0,108.0,1.8,True,optimistic,work_surface_1m2
optimistic:high_touch_set_4m2,UNVALIDATED_MODEL_INPUTS,0.2,0.17,3.4,0.85,20,96,1.6,3.0,150.0,2.5,True,optimistic,high_touch_set_4m2
optimistic:prep_zone_5m2,UNVALIDATED_MODEL_INPUTS,0.2,0.17,4.0,0.8,24,96,1.6,3.0,162.0,2.7,True,optimistic,prep_zone_5m2
optimistic:small_room_targets_12m2,UNVALIDATED_MODEL_INPUTS,0.2,0.17,9.0,0.75,53,96,1.6,3.0,249.0,4.15,True,optimistic,small_room_targets_12m2
optimistic:large_room_targets_25m2,UNVALIDATED_MODEL_INPUTS,0.2,0.17,16.25,0.65,96,96,1.6,3.0,378.0,6.3,True,optimistic,large_room_targets_25m2
conservative:work_surface_1m2,UNVALIDATED_MODEL_INPUTS,0.075,0.056249999999999994,0.95,0.95,17,96,3.2,7.2,242.4,4.04,True,conservative,work_surface_1m2
conservative:high_touch_set_4m2,UNVALIDATED_MODEL_INPUTS,0.075,0.056249999999999994,3.4,0.85,61,96,3.2,7.2,559.2,9.32,True,conservative,high_touch_set_4m2
conservative:prep_zone_5m2,UNVALIDATED_MODEL_INPUTS,0.075,0.056249999999999994,4.0,0.8,72,96,3.2,7.2,638.4,10.639999999999999,True,conservative,prep_zone_5m2
conservative:small_room_targets_12m2,UNVALIDATED_MODEL_INPUTS,0.075,0.056249999999999994,9.0,0.75,161,96,3.2,7.2,1279.2,21.32,True,conservative,small_room_targets_12m2
conservative:large_room_targets_25m2,UNVALIDATED_MODEL_INPUTS,0.075,0.056249999999999994,16.25,0.65,289,96,3.2,7.2,2200.8,36.68,False,conservative,large_room_targets_25m2
stress:work_surface_1m2,UNVALIDATED_MODEL_INPUTS,0.03,0.0195,0.95,0.95,49,96,4.800000000000001,12.8,807.2,13.453333333333335,True,stress,work_surface_1m2
stress:high_touch_set_4m2,UNVALIDATED_MODEL_INPUTS,0.03,0.0195,3.4,0.85,175,96,4.800000000000001,12.8,2420.0,40.333333333333336,False,stress,high_touch_set_4m2
stress:prep_zone_5m2,UNVALIDATED_MODEL_INPUTS,0.03,0.0195,4.0,0.8,206,96,4.800000000000001,12.8,2816.8,46.94666666666667,False,stress,prep_zone_5m2
stress:small_room_targets_12m2,UNVALIDATED_MODEL_INPUTS,0.03,0.0195,9.0,0.75,462,96,4.800000000000001,12.8,6093.6,101.56,False,stress,small_room_targets_12m2
stress:large_room_targets_25m2,UNVALIDATED_MODEL_INPUTS,0.03,0.0195,16.25,0.65,834,96,4.800000000000001,12.8,10855.2,180.92000000000002,False,stress,large_room_targets_25m2
