nuisance,ground_truth_proxy,expected,outcome,pass_rate,flag_rate,unknown_rate,evidence_type
nominal,clean,PASS,PASS,1.0,0.0,0.0,SYNTHETIC_ONLY
nominal,strong,FLAG,PASS,0.0,1.0,0.0,SYNTHETIC_ONLY
exposure_drift_low,clean,PASS,FAIL,0.5,0.5,0.0,SYNTHETIC_ONLY
exposure_drift_low,strong,FLAG,PASS,0.0,1.0,0.0,SYNTHETIC_ONLY
exposure_drift_high,clean,PASS,FAIL,0.734375,0.24951171875,0.01611328125,SYNTHETIC_ONLY
exposure_drift_high,strong,FLAG,PASS,0.0,1.0,0.0,SYNTHETIC_ONLY
multiplicative_gain_0.65,clean,PASS,FAIL,0.0,1.0,0.0,SYNTHETIC_ONLY
multiplicative_gain_0.65,strong,FLAG,PASS,0.0,1.0,0.0,SYNTHETIC_ONLY
registration_1px,clean,PASS,PASS,1.0,0.0,0.0,SYNTHETIC_ONLY
registration_1px,strong,FLAG,PASS,0.0,1.0,0.0,SYNTHETIC_ONLY
registration_3px,clean,PASS,PASS,1.0,0.0,0.0,SYNTHETIC_ONLY
registration_3px,strong,FLAG,PASS,0.0,1.0,0.0,SYNTHETIC_ONLY
additive_noise_0.003,clean,PASS,UNKNOWN,0.0,0.0,1.0,SYNTHETIC_ONLY
additive_noise_0.003,strong,FLAG,UNKNOWN,0.0,0.885009765625,0.114990234375,SYNTHETIC_ONLY
additive_noise_0.015,clean,PASS,UNKNOWN,0.0,0.0,1.0,SYNTHETIC_ONLY
additive_noise_0.015,strong,FLAG,UNKNOWN,0.0,0.0,1.0,SYNTHETIC_ONLY
reference_aging_0.2,clean,PASS,UNKNOWN,0.0,0.0,1.0,SYNTHETIC_ONLY
reference_aging_0.2,strong,FLAG,PASS,0.0,1.0,0.0,SYNTHETIC_ONLY
reference_aging_0.8,clean,PASS,UNKNOWN,0.0,0.0,1.0,SYNTHETIC_ONLY
reference_aging_0.8,strong,FLAG,UNKNOWN,0.0,0.0,1.0,SYNTHETIC_ONLY
roughness_mismatch_0.2,clean,PASS,PASS,0.98388671875,0.0,0.01611328125,SYNTHETIC_ONLY
roughness_mismatch_0.2,strong,FLAG,PASS,0.0,1.0,0.0,SYNTHETIC_ONLY
roughness_mismatch_-0.4,clean,PASS,UNKNOWN,0.0,0.0,1.0,SYNTHETIC_ONLY
roughness_mismatch_-0.4,strong,FLAG,PASS,0.0,1.0,0.0,SYNTHETIC_ONLY
illumination_gradient_10pct,clean,PASS,PASS,0.9990234375,0.000244140625,0.000732421875,SYNTHETIC_ONLY
illumination_gradient_10pct,strong,FLAG,PASS,0.0,1.0,0.0,SYNTHETIC_ONLY
illumination_gradient_35pct,clean,PASS,FAIL,0.6806640625,0.314208984375,0.005126953125,SYNTHETIC_ONLY
illumination_gradient_35pct,strong,FLAG,PASS,0.0,1.0,0.0,SYNTHETIC_ONLY
missing_frequency,clean,PASS,UNKNOWN,0.0,0.0,1.0,SYNTHETIC_ONLY
missing_frequency,strong,FLAG,UNKNOWN,0.0,0.0,1.0,SYNTHETIC_ONLY
