condition,scene_id,method,pixels,proxy_positive_pixels,exact_zero_proxy_pixels,proxy_positive_called_pass,proxy_positive_flagged,proxy_positive_unknown,exact_zero_proxy_called_pass,exact_zero_proxy_flagged,unknown_pixels,pass_pixels,flag_pixels,scope_positive_pass_fraction,zero_proxy_pass_fraction,unknown_fraction,bounded_inference_seconds,evidence_type,assumed_physical_contamination_in_stress
clean,0,uniform_DC,1024,0,1024,0,0,0,1009,15,0,1009,15,,0.9853515625,0.0,,SYNTHETIC,False
clean,0,single_frequency_modulation,1024,0,1024,0,0,0,1024,0,0,1024,0,,1.0,0.0,,SYNTHETIC,False
clean,0,multi_frequency_point_estimate,1024,0,1024,0,0,0,1024,0,0,1024,0,,1.0,0.0,,SYNTHETIC,False
clean,0,bounded_interval,1024,0,1024,0,0,0,1024,0,0,1024,0,,1.0,0.0,0.0009825810000165802,SYNTHETIC,False
clean,0,interval_two_frequencies,1024,0,1024,0,0,0,1024,0,0,1024,0,,1.0,0.0,,SYNTHETIC,False
clean,0,interval_three_frequencies,1024,0,1024,0,0,0,1024,0,0,1024,0,,1.0,0.0,,SYNTHETIC,False
clean,1,uniform_DC,1024,0,1024,0,0,0,1014,10,0,1014,10,,0.990234375,0.0,,SYNTHETIC,False
clean,1,single_frequency_modulation,1024,0,1024,0,0,0,1024,0,0,1024,0,,1.0,0.0,,SYNTHETIC,False
clean,1,multi_frequency_point_estimate,1024,0,1024,0,0,0,1024,0,0,1024,0,,1.0,0.0,,SYNTHETIC,False
clean,1,bounded_interval,1024,0,1024,0,0,0,1024,0,0,1024,0,,1.0,0.0,0.0010232529999711915,SYNTHETIC,False
clean,1,interval_two_frequencies,1024,0,1024,0,0,0,1024,0,0,1024,0,,1.0,0.0,,SYNTHETIC,False
clean,1,interval_three_frequencies,1024,0,1024,0,0,0,1024,0,0,1024,0,,1.0,0.0,,SYNTHETIC,False
subthreshold,0,uniform_DC,1024,0,0,0,0,0,0,0,0,1016,8,,,0.0,,SYNTHETIC,False
subthreshold,0,single_frequency_modulation,1024,0,0,0,0,0,0,0,0,712,312,,,0.0,,SYNTHETIC,False
subthreshold,0,multi_frequency_point_estimate,1024,0,0,0,0,0,0,0,0,1024,0,,,0.0,,SYNTHETIC,False
subthreshold,0,bounded_interval,1024,0,0,0,0,0,0,0,0,1024,0,,,0.0,0.0009249240000599457,SYNTHETIC,False
subthreshold,0,interval_two_frequencies,1024,0,0,0,0,0,0,0,0,1024,0,,,0.0,,SYNTHETIC,False
subthreshold,0,interval_three_frequencies,1024,0,0,0,0,0,0,0,0,1024,0,,,0.0,,SYNTHETIC,False
subthreshold,1,uniform_DC,1024,0,0,0,0,0,0,0,0,1015,9,,,0.0,,SYNTHETIC,False
subthreshold,1,single_frequency_modulation,1024,0,0,0,0,0,0,0,0,999,25,,,0.0,,SYNTHETIC,False
subthreshold,1,multi_frequency_point_estimate,1024,0,0,0,0,0,0,0,0,1024,0,,,0.0,,SYNTHETIC,False
subthreshold,1,bounded_interval,1024,0,0,0,0,0,0,0,113,911,0,,,0.1103515625,0.0008767719999696055,SYNTHETIC,False
