condition,scene_id,method,pixels,proxy_positive_pixels,exact_zero_proxy_pixels,proxy_positive_called_pass,proxy_positive_flagged,proxy_positive_unknown,exact_zero_proxy_called_pass,exact_zero_proxy_flagged,unknown_pixels,pass_pixels,flag_pixels,scope_positive_pass_fraction,zero_proxy_pass_fraction,unknown_fraction,bounded_inference_seconds,evidence_type,assumed_physical_contamination_in_stress
low_signal,0,uniform_DC,1024,0,1024,0,0,0,1020,4,0,1020,4,,0.99609375,0.0,,SYNTHETIC,False
low_signal,0,single_frequency_modulation,1024,0,1024,0,0,0,0,1024,0,0,1024,,0.0,0.0,,SYNTHETIC,False
low_signal,0,multi_frequency_point_estimate,1024,0,1024,0,0,0,1010,14,0,1010,14,,0.986328125,0.0,,SYNTHETIC,False
low_signal,0,bounded_interval,1024,0,1024,0,0,0,0,0,1024,0,0,,0.0,1.0,0.0009758119999787596,SYNTHETIC,False
low_signal,1,uniform_DC,1024,0,1024,0,0,0,1022,2,0,1022,2,,0.998046875,0.0,,SYNTHETIC,False
low_signal,1,single_frequency_modulation,1024,0,1024,0,0,0,0,1024,0,0,1024,,0.0,0.0,,SYNTHETIC,False
low_signal,1,multi_frequency_point_estimate,1024,0,1024,0,0,0,1009,15,0,1009,15,,0.9853515625,0.0,,SYNTHETIC,False
low_signal,1,bounded_interval,1024,0,1024,0,0,0,0,0,1024,0,0,,0.0,1.0,0.0009244550000175877,SYNTHETIC,False
low_signal,2,uniform_DC,1024,0,1024,0,0,0,1022,2,0,1022,2,,0.998046875,0.0,,SYNTHETIC,False
low_signal,2,single_frequency_modulation,1024,0,1024,0,0,0,0,1024,0,0,1024,,0.0,0.0,,SYNTHETIC,False
low_signal,2,multi_frequency_point_estimate,1024,0,1024,0,0,0,1008,16,0,1008,16,,0.984375,0.0,,SYNTHETIC,False
low_signal,2,bounded_interval,1024,0,1024,0,0,0,0,0,1024,0,0,,0.0,1.0,0.0009128960000452935,SYNTHETIC,False
low_signal,3,uniform_DC,1024,0,1024,0,0,0,1019,5,0,1019,5,,0.9951171875,0.0,,SYNTHETIC,False
low_signal,3,single_frequency_modulation,1024,0,1024,0,0,0,0,1024,0,0,1024,,0.0,0.0,,SYNTHETIC,False
low_signal,3,multi_frequency_point_estimate,1024,0,1024,0,0,0,1009,15,0,1009,15,,0.9853515625,0.0,,SYNTHETIC,False
low_signal,3,bounded_interval,1024,0,1024,0,0,0,0,0,1024,0,0,,0.0,1.0,0.0008961309999904188,SYNTHETIC,False
occluded,0,uniform_DC,1024,0,1024,0,0,0,508,4,512,508,4,,0.49609375,0.5,,SYNTHETIC,False
occluded,0,single_frequency_modulation,1024,0,1024,0,0,0,512,0,512,512,0,,0.5,0.5,,SYNTHETIC,False
occluded,0,multi_frequency_point_estimate,1024,0,1024,0,0,0,512,0,512,512,0,,0.5,0.5,,SYNTHETIC,False
occluded,0,bounded_interval,1024,0,1024,0,0,0,512,0,512,512,0,,0.5,0.5,0.0008895009999605463,SYNTHETIC,False
occluded,1,uniform_DC,1024,0,1024,0,0,0,510,2,512,510,2,,0.498046875,0.5,,SYNTHETIC,False
occluded,1,single_frequency_modulation,1024,0,1024,0,0,0,512,0,512,512,0,,0.5,0.5,,SYNTHETIC,False
occluded,1,multi_frequency_point_estimate,1024,0,1024,0,0,0,512,0,512,512,0,,0.5,0.5,,SYNTHETIC,False
occluded,1,bounded_interval,1024,0,1024,0,0,0,512,0,512,512,0,,0.5,0.5,0.0008601570000337233,SYNTHETIC,False
occluded,2,uniform_DC,1024,0,1024,0,0,0,510,2,512,510,2,,0.498046875,0.5,,SYNTHETIC,False
occluded,2,single_frequency_modulation,1024,0,1024,0,0,0,512,0,512,512,0,,0.5,0.5,,SYNTHETIC,False
occluded,2,multi_frequency_point_estimate,1024,0,1024,0,0,0,512,0,512,512,0,,0.5,0.5,,SYNTHETIC,False
occluded,2,bounded_interval,1024,0,1024,0,0,0,512,0,512,512,0,,0.5,0.5,0.0009260159999939788,SYNTHETIC,False
occluded,3,uniform_DC,1024,0,1024,0,0,0,504,8,512,504,8,,0.4921875,0.5,,SYNTHETIC,False
occluded,3,single_frequency_modulation,1024,0,1024,0,0,0,512,0,512,512,0,,0.5,0.5,,SYNTHETIC,False
occluded,3,multi_frequency_point_estimate,1024,0,1024,0,0,0,512,0,512,512,0,,0.5,0.5,,SYNTHETIC,False
occluded,3,bounded_interval,1024,0,1024,0,0,0,512,0,512,512,0,,0.5,0.5,0.0009077590000288183,SYNTHETIC,False
clipped,0,uniform_DC,1024,0,1024,0,0,0,0,1024,0,0,1024,,0.0,0.0,,SYNTHETIC,False
clipped,0,single_frequency_modulation,1024,0,1024,0,0,0,1024,0,0,1024,0,,1.0,0.0,,SYNTHETIC,False
clipped,0,multi_frequency_point_estimate,1024,0,1024,0,0,0,1024,0,0,1024,0,,1.0,0.0,,SYNTHETIC,False
clipped,0,bounded_interval,1024,0,1024,0,0,0,0,0,1024,0,0,,0.0,1.0,0.0009145290000560635,SYNTHETIC,False
clipped,1,uniform_DC,1024,0,1024,0,0,0,0,1024,0,0,1024,,0.0,0.0,,SYNTHETIC,False
clipped,1,single_frequency_modulation,1024,0,1024,0,0,0,823,201,0,823,201,,0.8037109375,0.0,,SYNTHETIC,False
clipped,1,multi_frequency_point_estimate,1024,0,1024,0,0,0,1024,0,0,1024,0,,1.0,0.0,,SYNTHETIC,False
clipped,1,bounded_interval,1024,0,1024,0,0,0,0,0,1024,0,0,,0.0,1.0,0.0010917059998973855,SYNTHETIC,False
clipped,2,uniform_DC,1024,0,1024,0,0,0,0,1024,0,0,1024,,0.0,0.0,,SYNTHETIC,False
clipped,2,single_frequency_modulation,1024,0,1024,0,0,0,1024,0,0,1024,0,,1.0,0.0,,SYNTHETIC,False
clipped,2,multi_frequency_point_estimate,1024,0,1024,0,0,0,1024,0,0,1024,0,,1.0,0.0,,SYNTHETIC,False
clipped,2,bounded_interval,1024,0,1024,0,0,0,0,0,1024,0,0,,0.0,1.0,0.0010256459999027356,SYNTHETIC,False
clipped,3,uniform_DC,1024,0,1024,0,0,0,0,1024,0,0,1024,,0.0,0.0,,SYNTHETIC,False
clipped,3,single_frequency_modulation,1024,0,1024,0,0,0,379,645,0,379,645,,0.3701171875,0.0,,SYNTHETIC,False
clipped,3,multi_frequency_point_estimate,1024,0,1024,0,0,0,1024,0,0,1024,0,,1.0,0.0,,SYNTHETIC,False
clipped,3,bounded_interval,1024,0,1024,0,0,0,0,0,1024,0,0,,0.0,1.0,0.001087880000000041,SYNTHETIC,False
noise_bound_violated,0,uniform_DC,1024,0,1024,0,0,0,215,809,0,215,809,,0.2099609375,0.0,,SYNTHETIC,False
noise_bound_violated,0,single_frequency_modulation,1024,0,1024,0,0,0,1023,1,0,1023,1,,0.9990234375,0.0,,SYNTHETIC,False
noise_bound_violated,0,multi_frequency_point_estimate,1024,0,1024,0,0,0,1024,0,0,1024,0,,1.0,0.0,,SYNTHETIC,False
noise_bound_violated,0,bounded_interval,1024,0,1024,0,0,0,0,0,1024,0,0,,0.0,1.0,0.0009962429999177402,SYNTHETIC,False
noise_bound_violated,1,uniform_DC,1024,0,1024,0,0,0,241,783,0,241,783,,0.2353515625,0.0,,SYNTHETIC,False
noise_bound_violated,1,single_frequency_modulation,1024,0,1024,0,0,0,826,198,0,826,198,,0.806640625,0.0,,SYNTHETIC,False
noise_bound_violated,1,multi_frequency_point_estimate,1024,0,1024,0,0,0,1024,0,0,1024,0,,1.0,0.0,,SYNTHETIC,False
noise_bound_violated,1,bounded_interval,1024,0,1024,0,0,0,0,0,1024,0,0,,0.0,1.0,0.0009664469999961511,SYNTHETIC,False
noise_bound_violated,2,uniform_DC,1024,0,1024,0,0,0,226,798,0,226,798,,0.220703125,0.0,,SYNTHETIC,False
noise_bound_violated,2,single_frequency_modulation,1024,0,1024,0,0,0,1024,0,0,1024,0,,1.0,0.0,,SYNTHETIC,False
noise_bound_violated,2,multi_frequency_point_estimate,1024,0,1024,0,0,0,1024,0,0,1024,0,,1.0,0.0,,SYNTHETIC,False
noise_bound_violated,2,bounded_interval,1024,0,1024,0,0,0,0,0,1024,0,0,,0.0,1.0,0.0009424410000065109,SYNTHETIC,False
noise_bound_violated,3,uniform_DC,1024,0,1024,0,0,0,257,767,0,257,767,,0.2509765625,0.0,,SYNTHETIC,False
noise_bound_violated,3,single_frequency_modulation,1024,0,1024,0,0,0,1024,0,0,1024,0,,1.0,0.0,,SYNTHETIC,False
noise_bound_violated,3,multi_frequency_point_estimate,1024,0,1024,0,0,0,1024,0,0,1024,0,,1.0,0.0,,SYNTHETIC,False
noise_bound_violated,3,bounded_interval,1024,0,1024,0,0,0,0,0,1024,0,0,,0.0,1.0,0.001018315999999686,SYNTHETIC,False
defocus_bound_violated,0,uniform_DC,1024,0,1024,0,0,0,1017,7,0,1017,7,,0.9931640625,0.0,,SYNTHETIC,False
defocus_bound_violated,0,single_frequency_modulation,1024,0,1024,0,0,0,0,1024,0,0,1024,,0.0,0.0,,SYNTHETIC,False
defocus_bound_violated,0,multi_frequency_point_estimate,1024,0,1024,0,0,0,0,1024,0,0,1024,,0.0,0.0,,SYNTHETIC,False
defocus_bound_violated,0,bounded_interval,1024,0,1024,0,0,0,0,1024,0,0,1024,,0.0,0.0,0.0008919949999608434,SYNTHETIC,False
defocus_bound_violated,1,uniform_DC,1024,0,1024,0,0,0,1017,7,0,1017,7,,0.9931640625,0.0,,SYNTHETIC,False
defocus_bound_violated,1,single_frequency_modulation,1024,0,1024,0,0,0,0,1024,0,0,1024,,0.0,0.0,,SYNTHETIC,False
defocus_bound_violated,1,multi_frequency_point_estimate,1024,0,1024,0,0,0,0,1024,0,0,1024,,0.0,0.0,,SYNTHETIC,False
defocus_bound_violated,1,bounded_interval,1024,0,1024,0,0,0,0,1024,0,0,1024,,0.0,0.0,0.00090210999996998,SYNTHETIC,False
defocus_bound_violated,2,uniform_DC,1024,0,1024,0,0,0,1018,6,0,1018,6,,0.994140625,0.0,,SYNTHETIC,False
defocus_bound_violated,2,single_frequency_modulation,1024,0,1024,0,0,0,0,1024,0,0,1024,,0.0,0.0,,SYNTHETIC,False
defocus_bound_violated,2,multi_frequency_point_estimate,1024,0,1024,0,0,0,0,1024,0,0,1024,,0.0,0.0,,SYNTHETIC,False
defocus_bound_violated,2,bounded_interval,1024,0,1024,0,0,0,0,1024,0,0,1024,,0.0,0.0,0.0014610730000867989,SYNTHETIC,False
defocus_bound_violated,3,uniform_DC,1024,0,1024,0,0,0,1015,9,0,1015,9,,0.9912109375,0.0,,SYNTHETIC,False
defocus_bound_violated,3,single_frequency_modulation,1024,0,1024,0,0,0,0,1024,0,0,1024,,0.0,0.0,,SYNTHETIC,False
defocus_bound_violated,3,multi_frequency_point_estimate,1024,0,1024,0,0,0,0,1024,0,0,1024,,0.0,0.0,,SYNTHETIC,False
defocus_bound_violated,3,bounded_interval,1024,0,1024,0,0,0,0,1024,0,0,1024,,0.0,0.0,0.0009411600000248654,SYNTHETIC,False
dirty_reference,0,uniform_DC,1024,1024,0,1014,10,0,0,0,0,1014,10,0.990234375,,0.0,,SYNTHETIC,True
dirty_reference,0,single_frequency_modulation,1024,1024,0,1024,0,0,0,0,0,1024,0,1.0,,0.0,,SYNTHETIC,True
